,Model,MAE,RMSE,R2 Score
0,Linear Regression (No Prep),4.571524792737378,5.753299978069823,0.8840057816668372
1,Linear Regression (Completed Prep),3.6683307414398407,4.791709924688698,0.8657159585023438
2,Tuned XGBoost (No Prep),4.802069187164307,6.072046373494296,0.8707970380783081
3,Tuned XGBoost (Completed Prep),3.673457384109497,4.882229457377777,0.8605945110321045
